"Project Code","Project Path","Type","Severity","Issue","File","Details","Suggestion"
"b59-n8n-digital-ocean","/Users/davidcruwys/dev/video-projects/v-appydave/b59-n8n-digital-ocean","structural","info","Chapter gaps detected","","Missing chapters: 02","Gaps may be intentional (deleted content). Use FR-140 if you want to fill them."
"b64-bmad-claude-sdk","/Users/davidcruwys/dev/video-projects/v-appydave/b64-bmad-claude-sdk","structural","info","Chapter gaps detected","","Missing chapters: 31, 32, 33, 34, 35, 36, 37, 38, 39","Gaps may be intentional (deleted content). Use FR-140 if you want to fill them."
"b64-bmad-claude-sdk","/Users/davidcruwys/dev/video-projects/v-appydave/b64-bmad-claude-sdk","structural","info","Sequence gaps in chapter 04","","Missing sequences: 3","Use FR-138 Rename Tool with ""Renumber"" option to fill gaps"
"b64-bmad-claude-sdk","/Users/davidcruwys/dev/video-projects/v-appydave/b64-bmad-claude-sdk","structural","error","Duplicate sequence in chapter 16","","Files: 16-1-create-custom-agent.mov, 16-1-develop.1.3-create-html-client.mov","Rename one file to use different sequence number"
"b64-bmad-claude-sdk","/Users/davidcruwys/dev/video-projects/v-appydave/b64-bmad-claude-sdk","structural","error","Duplicate sequence in chapter 40","","Files: 40-1-demonstration.mov, 40-1-talking-head.mov","Rename one file to use different sequence number"
"b65-guy-monroe-marketing-plan","/Users/davidcruwys/dev/video-projects/v-appydave/b65-guy-monroe-marketing-plan","naming","error","Invalid name format","03-1.mov","Name """" must be kebab-case ()","Convert to lowercase and replace special chars with hyphens"
"b65-guy-monroe-marketing-plan","/Users/davidcruwys/dev/video-projects/v-appydave/b65-guy-monroe-marketing-plan","naming","error","Invalid name format","03-2.mov","Name """" must be kebab-case ()","Convert to lowercase and replace special chars with hyphens"
"b66-context-engineered-html-art","/Users/davidcruwys/dev/video-projects/v-appydave/b66-context-engineered-html-art","naming","error","Invalid name format","10-2-requirement-documents+developer-agent.mov","Name ""requirement-documents+developer-agent"" must be kebab-case ()","Convert to lowercase and replace special chars with hyphens"
"b66-context-engineered-html-art","/Users/davidcruwys/dev/video-projects/v-appydave/b66-context-engineered-html-art","derivative","info","Missing transcript","01-1-intro.mov","Transcript not found (may be queued)","Use FR-136 Regen Transcripts tool or wait for queue"
"b66-context-engineered-html-art","/Users/davidcruwys/dev/video-projects/v-appydave/b66-context-engineered-html-art","derivative","info","Missing transcript","02-1-scenario.mov","Transcript not found (may be queued)","Use FR-136 Regen Transcripts tool or wait for queue"
